key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_caccae	N_caccae	p_hadrus	N_hadrus	p_hominis	N_hominis
func_57e69c5e17a1	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	caccae,hominis	M00144	NADH:quinone oxidoreductase, prokaryotes	1	15	0	84	1	11
func_592623e0b5e9	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	hadrus	M00616	Sulfate-sulfur assimilation	0	15	1	84	0	11
func_a670257d9147	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	hadrus	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	0	15	1	84	0	11
func_af619244273a	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	caccae,hominis	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	1	15	0	84	1	11
func_b059b7f6dbe0	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	caccae,hominis	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	1	15	0	84	1	11
func_c15e4ce13145	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	hadrus	M00596	Dissimilatory sulfate reduction, sulfate => H2S	0	15	1	84	0	11
func_df8208592a7f	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	caccae,hominis	M00375	Hydroxypropionate-hydroxybutylate cycle	1	15	0	84	1	11
func_ef0a99997d12	110.0085921746576	1.2940102853346468e-24	6.477869366867844e-24	caccae,hominis	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	1	15	0	84	1	11
func_a74d65e93f74	110.00617697880666	1.2955738733735687e-24	6.477869366867844e-24	caccae	M00098	Acylglycerol degradation	1	15	0	84	0	11
func_cb5df754d2f8	104.8241151731443	1.7287516393641445e-23	7.779382377138651e-23	caccae,hominis	M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	1	15	0	84	0.9090909090909092	11
func_12f8efb7aeaa	101.59722513640087	8.678464140371656e-23	3.5502807846974957e-22	caccae	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	0.9333333333333332	15	0	84	0	11
func_da95113ede1c	99.00002453677557	3.1799318873209147e-22	1.192474457745343e-21	hominis	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	15	0	84	0.9090909090909092	11
func_f32ddabff814	91.66679376256616	1.2439663928993357e-20	4.306037513882316e-20	caccae,hadrus	M00176	Assimilatory sulfate reduction, sulfate => H2S	0.26666666666666666	15	1	84	0	11
func_968bbd8c788a	67.36033697271314	2.359873246663187e-15	7.58530686427453e-15	hadrus,hominis	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	0	15	0.07142857142857142	84	1	11
func_24f14ac13d64	62.89174356619816	2.2041005653635277e-14	6.612301696090584e-14	caccae,hadrus	M00959	Guanine ribonucleotide degradation, GMP => Urate	1	15	0.10714285714285714	84	0	11
func_05ae66bb7285	54.46359589305484	1.4906662525840329e-12	4.1924988353925925e-12	caccae,hadrus	M00936	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	1	15	0.14285714285714285	84	0	11
func_30b7cec0a65a	40.19276791316432	1.8717650830632463e-9	4.954672278696829e-9	caccae	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	0.4	15	0	84	0	11
func_ed9714ae2108	33.17492214283551	6.253990078030364e-8	1.5634975195075908e-7	caccae	M00850	Vibrio cholerae pathogenicity signature, cholera toxins	0.3333333333333333	15	0	84	0	11
