key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_caccae	N_caccae	p_chicken	N_chicken	p_hadrus	N_hadrus
func_592623e0b5e9	126.00002339061975	4.35955901337136e-28	2.765262604577849e-27	hadrus	M00616	Sulfate-sulfur assimilation	0	28	0	7	1	91
func_c15e4ce13145	126.00002339061975	4.35955901337136e-28	2.765262604577849e-27	hadrus	M00596	Dissimilatory sulfate reduction, sulfate => H2S	0	28	0	7	1	91
func_57e69c5e17a1	126.00000411793799	4.359601023770501e-28	2.765262604577849e-27	caccae	M00144	NADH:quinone oxidoreductase, prokaryotes	1	28	0	7	0	91
func_af619244273a	126.00000411793799	4.359601023770501e-28	2.765262604577849e-27	caccae	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	1	28	0	7	0	91
func_ef0a99997d12	121.6496200405939	3.8381385272680136e-27	1.7821364047465417e-26	caccae,chicken	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	1	28	0.8571428571428571	7	0	91
func_df8208592a7f	121.1624629177928	4.8967222462306256e-27	1.7821364047465417e-26	caccae,chicken	M00375	Hydroxypropionate-hydroxybutylate cycle	1	28	0.14285714285714285	7	0	91
func_a670257d9147	121.15424782208457	4.916877132427408e-27	1.7821364047465417e-26	hadrus	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	0	28	0	7	0.989010989010989	91
func_5ad8d1af5f4b	120.41827847012719	7.104001918689562e-27	2.253007871762953e-26	caccae,hadrus	M00704	Tetracycline resistance, efflux pump Tet38	1	28	0	7	0.01098901098901099	91
func_b059b7f6dbe0	118.13432976069856	2.2256467276499386e-26	6.274272075626852e-26	caccae,chicken	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	1	28	0.2857142857142857	7	0	91
func_b278dcf741d0	115.21743394017216	9.568681749557602e-26	2.4277375542290993e-25	caccae,hadrus	M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	1	28	0	7	0.02197802197802198	91
func_cb5df754d2f8	114.66048244665153	1.2641324814743926e-25	2.915744945210637e-25	caccae	M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	0.9285714285714286	28	0	7	0	91
func_f32ddabff814	107.51717740265067	4.497193477438057e-24	9.508454925809842e-24	caccae,hadrus	M00176	Assimilatory sulfate reduction, sulfate => H2S	0.14285714285714285	28	0	7	1	91
func_e56d64955105	88.51587653735972	6.012036789406252e-20	1.1733508795482172e-19	chicken	M00358	Coenzyme M biosynthesis	0	28	0.7142857142857143	7	0	91
func_4c11eb00306b	72.70532758532043	1.6301918303812443e-16	2.9543388307209316e-16	chicken,hadrus	M00346	Formaldehyde assimilation, serine pathway	0	28	0.7142857142857143	7	0.01098901098901099	91
func_a74d65e93f74	68.77982568947274	1.1605146263865638e-15	1.9629488606349035e-15	caccae	M00098	Acylglycerol degradation	0.6071428571428571	28	0	7	0	91
func_12f8efb7aeaa	64.14546885641265	1.1775745696703176e-14	1.867317045674798e-14	caccae	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	0.5714285714285714	28	0	7	0	91
func_13e0e77bc123	52.84674355248165	3.345611007027025e-12	4.9931676595566374e-12	caccae,hadrus	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	1	28	0	7	0.9010989010989012	91
func_855985dab41b	52.24747261699108	4.514456519559314e-12	6.363302883025577e-12	chicken	M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	0	28	0.42857142857142855	7	0	91
func_0fa07df1bf64	38.01727862291656	5.554600623170068e-9	7.0464839800099954e-9	caccae	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	0.35714285714285715	28	0	7	0	91
func_da95113ede1c	38.01727862291656	5.554600623170068e-9	7.0464839800099954e-9	caccae	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0.35714285714285715	28	0	7	0	91
func_24f14ac13d64	35.70064191342376	1.768903365818647e-8	2.1371472174980448e-8	caccae,hadrus	M00959	Guanine ribonucleotide degradation, GMP => Urate	0.6071428571428571	28	0	7	0.0989010989010989	91
func_30b7cec0a65a	25.94119883386778	2.3277709620508303e-6	2.684523384879616e-6	caccae	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	0.25	28	0	7	0	91
func_ed9714ae2108	22.050015384517057	1.6289209027169047e-5	1.7968912187100613e-5	caccae	M00850	Vibrio cholerae pathogenicity signature, cholera toxins	0.21428571428571427	28	0	7	0	91
func_968bbd8c788a	18.68910267401526	8.744055761438428e-5	9.243816225999843e-5	caccae,hadrus	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	0.3928571428571429	28	0	7	0.07692307692307693	91
func_b0054361b576	17.55494514980407	1.5416723936265188e-4	1.5645941893713456e-4	caccae,hadrus	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	0.6428571428571429	28	0	7	0.26373626373626374	91
func_3432b7606ebc	17.136229747564226	1.9007061940481547e-4	1.7222912083773075e-4	chicken	M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	0	28	0.14285714285714285	7	0	91
func_4116ea4fcaf6	17.136229747564226	1.9007061940481547e-4	1.7222912083773075e-4	chicken	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	0	28	0.14285714285714285	7	0	91
func_b80d24c56144	17.136229747564226	1.9007061940481547e-4	1.7222912083773075e-4	chicken	M00156	Cytochrome c oxidase, cbb3-type	0	28	0.14285714285714285	7	0	91
func_663ed8992a3e	10.076948214889054	0.0064836341030588525	0.005672442810848374	caccae,hadrus	M00956	Lysine degradation, bacteria, L-lysine => succinate	0.14285714285714285	28	0	7	0.01098901098901099	91
func_4e1841adda5b	7.11290380769464	0.02853990761862757	0.022628314737285642	caccae	M00118	Glutathione biosynthesis, glutamate => glutathione	0.07142857142857142	28	0	7	0	91
func_4edc228d36b8	7.11290380769464	0.02853990761862757	0.022628314737285642	caccae	M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	0.07142857142857142	28	0	7	0	91
func_9658fc48f901	7.11290380769464	0.02853990761862757	0.022628314737285642	caccae	M00027	GABA (gamma-Aminobutyrate) shunt	0.07142857142857142	28	0	7	0	91
func_6a7d60179360	3.528000499421571	0.17135801610340726	0.12421842178198249	caccae	M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	0.03571428571428571	28	0	7	0	91
func_9218f9af5c5b	3.528000499421571	0.17135801610340726	0.12421842178198249	caccae	M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	0.03571428571428571	28	0	7	0	91
func_fc537615ad5e	3.528000499421571	0.17135801610340726	0.12421842178198249	caccae	M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	0.03571428571428571	28	0	7	0	91
func_b0bb74df0de3	2.850724053324551	0.24042140849117297	0.1694416853019433	hadrus	M00175	Nitrogen fixation, nitrogen => ammonia	0	28	0	7	0.07692307692307693	91
func_7b76ae6f5af9	2.4231073260692586	0.29773434105805063	0.20416290264336037	hadrus	M00064	ADP-L-glycero-D-manno-heptose biosynthesis	0	28	0	7	0.06593406593406594	91
func_a1dc8cd2ef61	2.0025636021288307	0.3674081949986172	0.24530978304654916	hadrus	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	0	28	0	7	0.05494505494505494	91
func_242b2b6ca67f	1.1002079036439139	0.5768898385136663	0.3752994329726367	caccae,hadrus	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	0.14285714285714285	28	0	7	0.12087912087912088	91
func_3baa3d401c0c	0.3876930428020803	0.8237843278311536	0.47221102159634154	hadrus	M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	0	28	0	7	0.01098901098901099	91
func_94df585aec78	0.3876930428020803	0.8237843278311536	0.47221102159634154	hadrus	M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	28	0	7	0.01098901098901099	91
func_db523f187c8a	0.3876930428020803	0.8237843278311536	0.47221102159634154	hadrus	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	0	28	0	7	0.01098901098901099	91
func_e42ea02a2afd	0.3876930428020803	0.8237843278311536	0.47221102159634154	hadrus	M00546	Purine degradation, xanthine => urea	0	28	0	7	0.01098901098901099	91
func_f61f0685055f	0.3876930428020803	0.8237843278311536	0.47221102159634154	hadrus	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0	28	0	7	0.01098901098901099	91
func_df870695c3af	0.354602676256699	0.8375273675640937	0.47221102159634154	caccae,hadrus	M00923	UDP-L-FucNAm biosynthesis	0.03571428571428571	28	0	7	0.02197802197802198	91
